Temperature,Energy,Magnetization,std(E),std(M)
0.001,-0.024936404152,4.426,0.0148674521471,1.1807133437
36.8430526316,-0.037252669798,4.642,0.021259888782,2.12098939177
73.6851052632,-0.037636370642,4.21,0.0259788659008,1.39069047599
110.527157895,-0.030321216056,4.002,0.0178471765698,1.25699482895
147.369210526,-0.031833256392,3.904,0.0228423684515,0.79472259311
184.211263158,-0.022658440114,3.668,0.0110806719526,0.735293138823
221.053315789,-0.02260479723,4.132,0.00967281209307,1.23139595582
257.895368421,-0.01196063177,3.44,0.00826332974262,0.579655069848
294.737421053,-0.018703188602,3.77,0.0120430841852,0.906697303404
331.579473684,-0.018308723226,4.04,0.0223548034516,0.860976190147
368.421526316,-0.018050302434,4.136,0.0125389016262,1.23950958044
405.263578947,-0.016011439966,4.2,0.0138305007504,0.992330590076
442.105631579,-0.01161816169,4.434,0.00331239627786,1.02329077002
478.947684211,-0.005241933368,3.862,0.00551969405151,0.838687069174
515.789736842,-0.014258812478,4.086,0.0118049587577,1.36897187699
552.631789474,-0.010142074174,3.418,0.0147833696566,0.915311968675
589.473842105,-0.01244578562,4.178,0.0216694942306,0.865861420783
626.315894737,-0.013950913086,3.82,0.0190705675598,0.816627209931
663.157947368,-0.006183532712,3.706,0.00450056983534,0.680061761901
700.0,-0.00671577266,3.694,0.0070448741049,0.904037609837
