Temperature,Energy,Magnetization
0.001,-0.0050233000000000005,1.0
52.63252631578947,-0.0015373000000000001,2.268
105.26405263157895,-0.009098900000000002,2.46
157.89557894736842,-0.0020049,2.4899999999999998
210.5271052631579,-0.0046587,2.5640000000000005
263.15863157894734,-0.0025237000000000002,2.498
315.7901578947368,-0.004532900000000001,2.488
368.4216842105263,-0.004683099999999999,2.3379999999999996
421.05321052631575,-0.006476700000000002,2.5820000000000003
473.6847368421052,-0.0037584999999999993,2.562
526.3162631578947,-0.0046815,2.852
578.9477894736842,-0.004968800000000001,2.37
631.5793157894736,-0.004223800000000001,2.5100000000000002
684.210842105263,-0.0019698000000000003,2.538
736.8423684210526,-0.0007415000000000001,2.5580000000000007
789.4738947368421,-0.0038901000000000005,2.698
842.1054210526315,0.0004918000000000001,2.4799999999999995
894.7369473684209,-0.0023599000000000007,2.5060000000000002
947.3684736842105,-0.0014386000000000002,2.722
1000.0,-0.00201,2.456
