Temperature,Energy,Magnetization,std(E),std(M)
0.001,-19.6455515604,477.602,0.52787825851,25.7391335519
36.8430526316,-20.0006452814,474.392,0.466146724866,27.4896725335
73.6851052632,-19.8700622969,426.872,0.612877178226,19.4614618156
110.527157895,-19.8369594359,384.464,0.606262626908,21.6083276539
147.369210526,-19.7968416563,362.872,0.517229719932,24.9859515728
184.211263158,-19.3879233897,320.434,0.732123047819,26.6265973042
221.053315789,-18.8217692682,310.426,0.842397653976,29.2345741204
257.895368421,-18.4764857088,302.374,0.545933411674,33.3276642446
294.737421053,-17.9351976385,272.014,0.882896012576,35.6398373172
331.579473684,-16.8804070301,229.956,0.744763774,43.9265448675
368.421526316,-16.2080064946,182.208,0.988094364078,28.1781208742
405.263578947,-15.8143122396,190.656,0.403879073688,20.9307712232
442.105631579,-15.4441135467,187.204,0.842486277979,22.77732346
478.947684211,-14.4286196734,161.336,1.00768550245,21.7636592511
515.789736842,-13.8439415949,130.68,1.07117790469,31.7543307283
552.631789474,-13.9471695612,130.928,0.916120058563,32.1860928974
589.473842105,-13.4486854816,120.994,0.668565320301,24.1351362955
626.315894737,-12.2304799743,81.126,0.528531511332,33.1219154639
663.157947368,-12.1573975621,84.37,1.04099987053,52.5269601253
700.0,-11.4279699121,71.212,0.694918428648,24.7010917977
