Temperature,Energy,Magnetization,std(E),std(M)
0.001,-4.11373357944,185.446,0.295930521745,15.0103938656
36.8430526316,-4.09026498821,161.334,0.265281459474,14.1644655388
73.6851052632,-4.21550822095,140.94,0.137847388746,12.2375160878
110.527157895,-4.06228687878,103.618,0.215320353716,20.3283574349
147.369210526,-3.66790314456,66.334,0.236624835712,19.9247926965
184.211263158,-3.36250925183,45.298,0.217031020638,24.9762614496
221.053315789,-3.40636337026,31.866,0.192957098243,19.2841531834
257.895368421,-3.03740657027,28.826,0.243989054135,13.7656269018
294.737421053,-2.847861946,29.802,0.289216265817,20.4497871872
331.579473684,-2.66477136005,25.3,0.330370107076,14.0839767111
368.421526316,-2.55219852043,24.334,0.308594776562,17.2674631605
405.263578947,-2.32786861367,17.686,0.296251010571,12.175171621
442.105631579,-2.34197917376,18.15,0.243770447004,9.92012197506
478.947684211,-2.00468406918,21.644,0.330335815605,15.0303500957
515.789736842,-1.96553058365,25.734,0.240863359996,13.6416452087
552.631789474,-1.85522144242,14.73,0.395745826229,6.54147536875
589.473842105,-1.73806766663,12.486,0.216395502963,7.35254540958
626.315894737,-1.79695314399,10.826,0.364682681635,7.67204301344
663.157947368,-1.61816102924,21.258,0.380274910215,13.2799350902
700.0,-1.58890719743,13.478,0.241546606787,5.83017975709
