Temperature,Energy,Magnetization,std(E),std(M)
0.001,-0.54657639077,29.824,0.0750271654502,7.52467301615
36.8430526316,-0.576588344788,23.954,0.101396738862,4.69092783999
73.6851052632,-0.506515830896,12.918,0.0857511405193,4.80996839906
110.527157895,-0.511139420514,8.064,0.111517145905,4.73200845308
147.369210526,-0.51092001514,7.038,0.100997829654,3.25692431598
184.211263158,-0.437215635104,7.102,0.126429685737,3.26704086292
221.053315789,-0.440374960914,8.44,0.104591716577,4.37794472327
257.895368421,-0.397377241804,8.158,0.120014302397,3.35127975556
294.737421053,-0.355284822342,10.02,0.0755607896929,3.50672496783
331.579473684,-0.360975493926,5.758,0.117990626213,2.46775120302
368.421526316,-0.358277547604,7.268,0.117318445543,3.7275858139
405.263578947,-0.32476503391,7.542,0.0671905262644,3.27948105651
442.105631579,-0.310193734276,8.86,0.0976053082975,4.01009725568
478.947684211,-0.2833204283,8.364,0.0784473932179,3.63476326602
515.789736842,-0.319911753928,6.342,0.0928016509604,1.83068184019
552.631789474,-0.259365636604,8.92,0.08203021914,3.69102695737
589.473842105,-0.291530347856,6.52,0.105845571056,2.56923334869
626.315894737,-0.235910732134,7.576,0.142844916364,2.22938197714
663.157947368,-0.247840558378,8.772,0.0654800154424,3.14753490846
700.0,-0.191239263888,9.134,0.0851248952459,4.37377685759
