Temperature,Energy,Magnetization,std(E),std(M)
0.001,-5.002452912683981,240.73200000000003,0.33030887841039047,19.449679071902448
36.84305263157895,-5.144627446607982,191.916,0.299450867248459,23.612708103900324
73.68510526315791,-5.019591624045983,167.72,0.2373064177520793,22.67546339107539
110.52715789473686,-4.993645637699986,122.518,0.3221460183792686,14.757374969824411
147.3692105263158,-4.642292270951988,104.54,0.3151494272471518,21.936471913231628
184.21126315789476,-4.28660880869999,78.25800000000001,0.24565523585898266,9.758276282212961
221.05331578947371,-3.9627294171319933,64.462,0.262239036173841,21.12810535755632
257.89536842105264,-3.9329864229079945,60.77199999999999,0.23950825932731656,25.285718024212798
294.7374210526316,-3.682179521511995,44.55999999999999,0.3658056618790621,29.343875681306994
331.57947368421054,-3.5406584247619977,43.510000000000005,0.4407609539393162,14.935662690352915
368.4215263157895,-3.3034314229899993,35.44,0.2795855746288398,16.828758718336893
405.26357894736844,-3.0644079881439996,38.224000000000004,0.17270707104779348,15.533509069106055
442.1056315789474,-2.9048752944519984,21.836000000000002,0.32333920065617594,12.6475888611229
478.94768421052635,-2.801476899694,28.308000000000003,0.3078138737702898,20.424370149407302
515.7897368421053,-2.49168698956,26.048000000000002,0.3163882021294922,15.35851346973398
552.6317894736842,-2.471487552388001,26.534,0.37437336482386957,15.13991822963387
589.4738421052632,-2.035780443346,15.706000000000003,0.3815066599926485,11.36324971124018
626.3158947368422,-2.2374235644320004,20.564000000000004,0.30805477952034394,12.32984606554356
663.1579473684211,-2.103947838328,22.778000000000002,0.46898225580294167,19.626271067118175
700.0,-1.9342331399600006,25.235999999999997,0.36573147892852986,14.336671301247023
