Temperature,Energy,Magnetization,std(E),std(M)
0.001,-9.90841650326,240.992,0.358071729854,20.2774992541
36.8430526316,-10.1457466191,238.744,0.390778013,21.1342448174
73.6851052632,-9.97646602369,202.42,0.292492535649,12.0074676764
110.527157895,-10.2582286363,178.32,0.200626792171,18.6825672754
147.369210526,-9.96890558344,163.556,0.297010582475,21.4240926062
184.211263158,-10.0991725189,145.428,0.350887837976,20.6586915365
221.053315789,-9.91437168168,133.878,0.499150433457,17.1708134927
257.895368421,-9.38077776643,109.16,0.453838090249,28.3088777595
294.737421053,-8.99847300309,98.062,0.498856462352,27.3494489158
331.579473684,-8.83821054008,91.186,0.646842619755,15.4134565883
368.421526316,-8.43827802197,71.124,0.458590252634,22.0272227936
405.263578947,-7.90901428797,52.458,0.461012840838,27.2968502945
442.105631579,-7.78149752982,59.142,0.403878419123,23.7866053904
478.947684211,-7.50887312918,54.526,0.702953083872,11.8123157763
515.789736842,-7.32813777504,42.84,0.657961757583,22.3860635218
552.631789474,-6.74367404505,32.21,0.364002412614,16.4393947577
589.473842105,-6.51591977113,32.016,0.53001053066,17.5807481069
626.315894737,-6.35603760406,25.56,0.764369877019,18.0702097387
663.157947368,-6.20983170657,36.808,0.795448644189,13.7752131018
700.0,-5.82316070394,14.202,0.510201401869,6.98427061331
