Temperature,Energy,Magnetization,std(E),std(M)
0.001,-1.91597972353,97.788,0.168481859321,11.2414525752
36.8430526316,-1.87734075678,84.75,0.159582187826,14.8353287796
73.6851052632,-1.96518172244,60.302,0.179687018746,12.4989293942
110.527157895,-1.87856019545,40.91,0.216187358893,17.8436616197
147.369210526,-1.79312697674,30.682,0.238593159717,13.9080795223
184.211263158,-1.61666398138,24.342,0.184599384287,18.2861662466
221.053315789,-1.29955849866,15.784,0.180087364699,11.9946047872
257.895368421,-1.34851734321,18.548,0.15438299598,10.8334120202
294.737421053,-1.26542688901,17.712,0.204523288566,12.0254237347
331.579473684,-1.20069289927,14.296,0.207753056909,8.86040540833
368.421526316,-1.18002460239,13.072,0.0980772843487,7.07756003154
405.263578947,-1.13133034287,22.096,0.193176896186,9.07864659517
442.105631579,-0.955712050216,17.724,0.229765516442,10.7734889428
478.947684211,-0.946043531514,14.37,0.213200712216,13.5063903394
515.789736842,-0.970979716632,10.44,0.184403285644,5.64581969248
552.631789474,-0.866046433304,16.274,0.203066881057,13.5504363029
589.473842105,-0.797393941916,13.848,0.156821360816,7.62300833005
626.315894737,-0.679345081706,12.384,0.153420922242,6.66171029091
663.157947368,-0.752116432536,14.056,0.0954869652147,7.23426734369
700.0,-0.824151008104,13.14,0.159941736392,3.81521165861
