Temperature,Energy,Magnetization,std(E),std(M)
0.001,-0.045249242134,5.762,0.0205443790297,2.14217552969
36.8430526316,-0.069550248286,7.16,0.0309880124415,5.26088205532
73.6851052632,-0.078618390294,6.528,0.0385357047744,1.62510799641
110.527157895,-0.086496474736,6.108,0.0301642193121,1.4271706275
147.369210526,-0.053826560808,6.444,0.0342361291055,2.36186028376
184.211263158,-0.06068143418,5.574,0.0250331009114,1.3196378291
221.053315789,-0.041111661666,6.126,0.0317520855283,2.33234731547
257.895368421,-0.042272511376,5.034,0.0184094907978,1.43379356952
294.737421053,-0.027439119606,5.088,0.0247590508033,1.54555362249
331.579473684,-0.03506877575,5.662,0.028031847926,1.46343295029
368.421526316,-0.045377134382,5.782,0.0409023748704,1.77911101396
405.263578947,-0.027937816832,6.07,0.0305050201103,2.30214248039
442.105631579,-0.027264139092,5.716,0.0199462518033,2.06152952926
478.947684211,-0.055338274512,5.096,0.0271841676913,2.03014876302
515.789736842,-0.035709205106,6.542,0.0321163234549,3.2983444332
552.631789474,-0.022448517692,5.764,0.0137716169955,2.28841954195
589.473842105,-0.02506401676,5.512,0.0172606229462,1.92670080708
626.315894737,-0.02857827384,5.178,0.03559360592,1.88955973708
663.157947368,-0.021004775344,5.752,0.0185527918454,2.34437539656
700.0,-0.01365749675,5.606,0.0252031657343,1.14884463702
