Temperature,Energy,Magnetization
0.001,-0.0429382,1.4300000000000002
52.63252631578947,-0.05106790000000001,5.692
105.26405263157895,-0.0511755,3.7079999999999997
157.89557894736842,-0.04178090000000001,3.6420000000000003
210.5271052631579,-0.05267809999999999,3.588
263.15863157894734,-0.042412200000000004,4.1160000000000005
315.7901578947368,-0.0232066,3.7379999999999995
368.4216842105263,-0.0339345,3.474
421.05321052631575,-0.0304907,3.626
473.6847368421052,-0.0267731,4.08
526.3162631578947,-0.021126700000000005,4.331999999999999
578.9477894736842,-0.0260208,3.4880000000000004
631.5793157894736,-0.019031100000000002,3.0759999999999996
684.210842105263,-0.0182679,4.108
736.8423684210526,-0.0138736,3.478
789.4738947368421,-0.0142383,3.536
842.1054210526315,-0.020279000000000002,3.946
894.7369473684209,-0.014819400000000002,3.8899999999999997
947.3684736842105,-0.002972700000000001,3.564
1000.0,-0.0161791,3.684
