Temperature,Energy,Magnetization
0.001,-1.535649500000002,64.0
52.63252631578947,-1.5062340000000014,75.30000000000001
105.26405263157895,-1.3957855000000015,60.099999999999994
157.89557894736842,-1.3987250000000018,28.25
210.5271052631579,-1.1922205000000015,11.86
263.15863157894734,-1.2592130000000012,19.18
315.7901578947368,-0.972843000000001,6.01
368.4216842105263,-0.7931685000000009,11.5
421.05321052631575,-0.7788935000000009,16.98
473.6847368421052,-0.6754005000000007,18.59
526.3162631578947,-0.8025970000000008,8.26
578.9477894736842,-0.6231645000000006,11.18
631.5793157894736,-0.7151690000000007,13.73
684.210842105263,-0.6602790000000007,8.68
736.8423684210526,-0.6980620000000008,14.559999999999999
789.4738947368421,-0.5930350000000005,11.129999999999999
842.1054210526315,-0.4213790000000002,16.22
894.7369473684209,-0.3915780000000002,10.72
947.3684736842105,-0.31253600000000026,7.96
1000.0,-0.267334,5.22
