Temperature,Energy,Magnetization
0.001,-1.5684090651160008,75.818
52.63252631578947,-1.4274881226080014,71.48400000000001
105.26405263157895,-1.4640933840140016,60.132000000000005
157.89557894736842,-1.3037144397840017,44.117999999999995
210.5271052631579,-1.3763548680480011,38.010000000000005
263.15863157894734,-1.1546801490960013,22.65
315.7901578947368,-1.2096313438740016,19.932
368.4216842105263,-1.1403526792180014,17.378
421.05321052631575,-0.966891037086001,13.144
473.6847368421052,-0.9435574062360012,8.888000000000002
526.3162631578947,-0.8351049668020007,14.746
578.9477894736842,-0.7861754008620006,11.379999999999999
